254,0,-5.2,37,2.2,28.674
204,1,-5.5,38,0.8,28.5975
173,2,-6,39,1,28.47
107,3,-6.2,40,0.9,28.419
78,4,-6,36,2.3,28.47
100,5,-6.4,37,1.5,28.368
181,6,-6.6,35,1.3,28.317
460,7,-7.4,38,0.9,28.113
930,8,-7.6,37,1.1,28.062
490,9,-6.5,27,0.5,28.3425
339,10,-3.5,24,1.2,29.1075
360,11,-0.5,21,1.3,29.8725
449,12,1.7,23,1.4,30.4335
451,13,2.4,25,1.6,30.612
447,14,3,26,2,30.765
463,15,2.1,36,3.2,30.5355
484,16,1.2,54,4.2,30.306
555,17,0.8,58,1.6,30.204
862,18,0.6,66,1.4,30.153
600,19,0,77,1.7,30
426,20,-0.3,79,1.5,29.9235
405,21,-0.8,81,0.8,29.796
398,22,-0.9,83,1.5,29.7705
323,23,-1.3,84,1,29.6685
328,0,-1.8,87,1.1,29.541
308,1,-2.2,86,0.6,29.439
262,2,-2.9,86,1.5,29.2605
167,3,-3.5,81,2.2,29.1075
89,4,-3.8,79,2,29.031
79,5,-4,79,1.5,28.98
70,6,-4.3,82,2.1,28.9035
146,7,-4.4,81,2.5,28.878
219,8,-4.2,79,2.1,28.929
328,9,-2.9,68,1.6,29.2605
334,10,-0.4,57,1.6,29.898
388,11,1.9,49,1.8,30.4845
479,12,4.3,41,1.3,31.0965
606,13,6,36,1.8,31.53
611,14,7.3,35,1.3,31.8615
589,15,7.6,41,2.3,31.938
618,16,6.4,48,2.6,31.632
572,17,6,51,2.5,31.53
489,18,5.5,53,1.5,31.4025
385,19,5,52,2.3,31.275
359,20,4.6,51,1.2,31.173
377,21,4.1,55,1.2,31.0455
354,22,3.5,54,1.5,30.8925
366,23,4,56,1,31.02
342,0,4,58,1.4,31.02
227,1,3.9,69,1.7,30.9945
228,2,3.3,79,1.4,30.8415
117,3,3.4,71,1.6,30.867
76,4,3.5,73,1,30.8925
32,5,3.9,75,1.9,30.9945
13,6,3.4,86,2.5,30.867
22,7,3.1,91,1.2,30.7905
85,8,3.2,92,1.8,30.816
152,9,3.5,91,1.8,30.8925
200,10,4.4,89,2.2,31.122
273,11,5.1,87,1.4,31.3005
333,12,5.8,85,1.7,31.479
495,13,6.8,81,1.9,31.734
563,14,7.6,76,1.2,31.938
621,15,8,73,1.6,32.04
598,16,7.6,77,1.6,31.938
545,17,6.7,82,1.5,31.7085
443,18,6,84,1.9,31.53
422,19,5.7,85,1.7,31.4535
397,20,5.2,87,1.4,31.326
385,21,4.7,87,1.2,31.1985
350,22,4.3,89,1.8,31.0965
